title,url,address,
티테라피,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=c70ab4d7-0602-45d8-9af6-3346ff98bc3a&con_type=39,서울특별시 종로구 윤보선길 74,
로미지안 가든,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d25be1de-543a-45e4-8b38-1a1f0980480e&big_category=A02&mid_category=A0203&big_area=32,강원특별자치도 정선군 북평면 어래길 20,
금풍양조장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ba6b0fb1-97d6-41bf-9fe3-9e238eaca45c&big_category=A02&mid_category=A0204&big_area=2,인천광역시 강화군 삼랑성길 8,
"포레스트 리솜 해브나인 스파 (해브나인 힐링스파)		",https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4d0f864f-6167-41c4-a9ff-f8be64fbb49d&big_category=A02&mid_category=A0202&big_area=33,충청북도 제천시 백운면 금봉로 365,
파크로쉬 리조트앤웰니스 (PARK ROCHE Resort&Wellness),https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=2234b19a-533b-4aab-be7d-b7eb75c1a8c4&con_type=32,강원특별자치도 정선군 북평면 중봉길 9-12,
올리바인 스파,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b981b598-d72b-44ab-af61-9e36da7e7996&big_category=A02&mid_category=A0202&big_area=1,서울특별시 종로구 통일로16길 4-1 (무악동),
한방스파 여용국,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=88a7a5a2-5a37-4845-b23a-ac48d4ba3351&big_category=A02&mid_category=A0202&big_area=1,서울특별시 송파구 석촌호수로12길 60 (잠실동),
미리내힐빙클럽,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6ffd874e-7346-4e75-9ef9-ab41bdaa7f74&big_category=A02&mid_category=A0202&big_area=31,경기도 양평군 지평면 월산저수지길 21,
오색그린야드호텔,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=09c49506-363e-4de0-9c1a-f891116a835c&con_type=32,강원특별자치도 양양군 서면 대청봉길 34,
베니키아 프리미어 동해보양온천 컨벤션호텔,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=aae3cfa9-7b5b-4e51-acb1-3782f0cfa878&con_type=32,강원특별자치도 동해시 동해대로 6285,
