title,url,areaCode,sigunguCode,contentType
JW 메리어트 제주 리조트 & 스파,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=6b4762fe-c55f-4e0d-82c5-9d43bfc3e9c3&con_type=32,39,3,32
완도해양치유센터,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6657664f-c91e-4457-8a76-8acdffad616e&big_category=A02&mid_category=A0202&big_area=38,38,18,12
에스투뷰텍 뷰라운지,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=4968dcbe-0ea2-4683-998d-5618662ab392&con_type=38,4,7,38
티테라피,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=c70ab4d7-0602-45d8-9af6-3346ff98bc3a&con_type=39,1,23,39
로미지안 가든,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d25be1de-543a-45e4-8b38-1a1f0980480e&big_category=A02&mid_category=A0203&big_area=32,32,11,12
금풍양조장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ba6b0fb1-97d6-41bf-9fe3-9e238eaca45c&big_category=A02&mid_category=A0204&big_area=2,2,1,12
포레스트 리솜 해브나인 스파 (해브나인 힐링스파)		,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4d0f864f-6167-41c4-a9ff-f8be64fbb49d&big_category=A02&mid_category=A0202&big_area=33,33,7,12
파크로쉬 리조트앤웰니스 (PARK ROCHE Resort&Wellness),https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=2234b19a-533b-4aab-be7d-b7eb75c1a8c4&con_type=32,32,11,32
올리바인 스파,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b981b598-d72b-44ab-af61-9e36da7e7996&big_category=A02&mid_category=A0202&big_area=1,1,23,12
한방스파 여용국,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=88a7a5a2-5a37-4845-b23a-ac48d4ba3351&big_category=A02&mid_category=A0202&big_area=1,1,18,12
미리내힐빙클럽,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6ffd874e-7346-4e75-9ef9-ab41bdaa7f74&big_category=A02&mid_category=A0202&big_area=31,31,19,12
오색그린야드호텔,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=09c49506-363e-4de0-9c1a-f891116a835c&con_type=32,32,7,32
베니키아 프리미어 동해보양온천 컨벤션호텔,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=aae3cfa9-7b5b-4e51-acb1-3782f0cfa878&con_type=32,32,3,32
오크밸리,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=4a9a75d0-74f2-49a6-8e82-9f5854cbc626&con_type=32,32,9,32
WE호텔,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=46bcc2e6-17e1-409e-86be-e80e48b5f61c&con_type=32,39,3,32
비스타 워커힐 서울,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=b89ee0ce-240a-4fcc-8015-829faee64a82&con_type=32,1,6,32
메이필드호텔,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=aaa0550e-99d2-436a-ae64-50b0f382826d&con_type=32,1,4,32
경원재 앰배서더 인천,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=f0b666a4-b66e-47bc-9e89-810e0e54b057&con_type=32,2,8,32
힐리언스 선마을,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=98aa8220-0b4e-41bc-961d-d3025a33cecf&con_type=32,32,16,32
팜카밀레,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=aacc3e72-a74e-4f21-8b26-9e036b097ae9&big_category=A02&mid_category=A0203&big_area=34,34,14,12
국립제천치유의숲,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=99a4d226-302e-4023-b2ce-80a86b1b1788&big_category=A01&mid_category=A0101&big_area=33,33,7,12
구이 안덕 건강힐링체험마을,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=5b8fc4ae-cd51-4da3-bd92-116d5fa0c03a&big_category=A02&mid_category=A0203&big_area=37,37,8,12
더 스파 앳 파라다이스		,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b8ff32a2-e341-414c-9be6-59e3fa1d0fef&big_category=A02&mid_category=A0203&big_area=2,2,10,12
순창 쉴랜드,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=90f9ae4d-254c-456f-8410-0bad19d4d47d&big_category=A02&mid_category=A0203&big_area=37,37,7,12
설해원,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=f5196f7f-4f80-461e-8888-f3effd1bee93&con_type=32,32,7,32
서울한방진흥센터,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=faf5b907-fb5e-4285-b316-b8264cb2bd14&con_type=14,1,11,14
리조트 스파밸리,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=12d557db-db3d-4c87-8778-8f2ef7ad4280&con_type=32,4,3,32
전남권 환경성질환 예방관리센터,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0985d752-9f14-4618-afdc-082debc9db02&big_category=A02&mid_category=A0203&big_area=38,38,10,12
테라피 스파 소베,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=125bb51c-baf7-459b-a808-90b4b7e1a47c&big_category=A02&mid_category=A0202&big_area=5,5,5,12
국립김천치유의숲,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=09bf19e6-2100-414a-83c3-581eed3cec87&big_category=A01&mid_category=A0101&big_area=35,35,6,12
SPA 1899,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=5657a8b8-6da7-4834-b08b-3abff86adbb7&big_category=A02&mid_category=A0202&big_area=1,1,1,12
서귀포 치유의 숲,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=728d182d-9d26-479d-b975-9d6ffb3099c5&big_category=A01&mid_category=A0101&big_area=39,39,3,12
한화리조트 거제 벨버디어,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=21c62f2a-8ca9-48b4-bb44-075543b4ab3d&con_type=32,36,1,32
진안 홍삼스파,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f61fb452-001f-4251-80fc-f05c8328cca8&big_category=A02&mid_category=A0202&big_area=37,37,14,12
파라다이스 씨티 씨메르(인천),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6ba4da90-c52f-48c5-811a-cdc36d7c0a27&big_category=A02&mid_category=A0202&big_area=2,2,10,12
금강송 에코리움,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=09be7adb-9af1-4caa-b056-84aff1c81665&big_category=A01&mid_category=A0101&big_area=35,35,18,12
편백나무숲속 나폴리농원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2b33bf09-693c-4d0a-a6a3-1e9f7775a3a8&big_category=A02&mid_category=A0203&big_area=36,36,17,12
아원,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=ccde89d6-32f7-456d-b82b-25255b3c11d6&con_type=32,37,8,32
뮤지엄산,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=2aa0e2bf-f20c-4961-936a-be7822ca882b&con_type=14,32,9,14
순천만국가정원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=26cbdc82-063d-4e57-8bc6-9136938cc88d&big_category=A02&mid_category=A0202&big_area=38,38,11,12
깊은산속 옹달샘,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=00cc83f5-d93c-4b1e-927d-0f143745030e&big_category=A02&mid_category=A0203&big_area=33,33,11,12
모명재,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1a472527-1790-4710-8b7a-8a6eef763a0f&big_category=A02&mid_category=A0201&big_area=4,4,7,12
동해무릉건강숲,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0682c93e-d31d-4232-ad41-9d8dcac11cc0&big_category=A02&mid_category=A0202&big_area=32,32,3,12
스파랜드 센텀시티,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b2f8cf27-98bb-43ef-9f9e-f746a7ad556e&big_category=A02&mid_category=A0202&big_area=6,6,16,12
국립장성숲체원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=896100fb-3c6c-44bc-920f-7bf893703c28&big_category=A01&mid_category=A0101&big_area=38,38,19,12
국립대운산치유의숲,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=aac9e0fc-bb7a-48cc-9efe-1b7303347b95&big_category=A01&mid_category=A0101&big_area=7,7,5,12
하이원리조트,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=aee00ce5-7107-439d-9fdd-c1f95ee5a23e&con_type=32,32,11,32
파라다이스 스파 도고,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6b82b7ae-ec7d-48da-8d24-8561dddaff26&big_category=A02&mid_category=A0202&big_area=34,34,9,12
모나용평,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=912ff714-ea58-42a8-b37c-dfc577b078f2&con_type=32,32,15,32
국립산림치유원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=02e139e8-92c9-4d49-b146-1011989c67e2&big_category=A01&mid_category=A0101&big_area=35,35,14,12
2024 한국 웰니스관광 페스타,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=df5a4500-8c49-4954-9b02-ca9a96c2c537&con_type=10600,0,,10600
2024 코리아 헬스 & 웰니스 페스티벌<br> (2024 Korea Health & Wellness Festival),https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=7a1ffa45-3b14-4d1a-a931-c887daafb0fa&con_type=10000,1,,10000
"건강과 재미 다 가진 K-전통 체험에 반하다, 한국전통문화체험관",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=6c4bee54-730f-40e0-a0a9-111f3a8680f1&con_type=10600,4,7,10600
"해운대 위에서 즐기는 온천 스파&워터파크, 부산 클럽디오아시스",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=571614d1-f732-4355-9a68-86ad5ebb399a&con_type=10600,6,16,10600
"생명의 바다가 품은 치유의 힘, 완도해양치유센터",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=fadd6afe-2e18-4885-984e-5cc81315119b&con_type=10600,38,18,10600
"프리미엄 리조트, 웰니스를 만나다 - 오크밸리 리조트",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=12bc9bf5-7a5f-4908-b717-f151cd526632&con_type=10600,32,9,10600
웰니스관광 체험주간,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=8378b3aa-035f-48d5-a367-ff40b1393634&con_type=10000,0,,10000
"온전한 ‘쉼’을 통해 새로운 나를 만나다, 완주 아원고택",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=17d508c4-f50f-4e64-a8c7-fd5a6d96c2ff&con_type=10600,37,8,10600
"‘잘’ 먹고 ‘제대로’ 쉬는 힐링 라이프, 순창 쉴랜드",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=fca48574-7494-4ccc-8bb0-9b3d7acd7659&con_type=10600,37,7,10600
"오롯이 쉼, 자연의 숨을 느끼는 진정한 웰니스 여행지, 영주 소백산생태탐방원",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=228ab7b8-30cd-47fc-a815-1882344e9483&con_type=10600,35,14,10600
"나와 만나는 내 안의 숲, 대구 군위 사유원 ",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=fbb2b8ab-b87f-4bf7-88d0-2cf5ea151b28&con_type=10600,4,9,10600
오색 매력 오감 만족 영동의 자연을 닮은 레인보우 힐링센터,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=88c5e997-f67f-4c90-8372-a94cfa601505&con_type=10600,33,4,10600
"소곤소곤, 백 년의 이야기가 발효되는 ‘금풍양조장’",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=524cc809-4535-4b93-982c-264384c8786f&con_type=10600,2,1,10600
"5성 한옥호텔에서 즐기는 럭셔리 웰니스, 경원재 앰배서더",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=a9446e20-772c-413a-9570-62198743fc8b&con_type=10600,2,8,10600
"MZ들에게 인정받은 힐링 핫플, 미리내 힐빙클럽",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=b8afbca2-b622-4688-bf9d-1dfb6ba8c3c7&con_type=10600,31,19,10600
"제주의 땅과 바다, 바람을 품은 안식처에서 즐기는 웰니스 스테이",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=9429f497-7e23-4a90-9b64-9c602841dc1a&con_type=10600,39,3,10600
"깊은 산과 계곡이 숨겨놓은 웰니스 파라다이스, 동해무릉건강숲",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=8f92012d-6c8f-4cc7-820f-18fc0308dedf&con_type=10600,32,3,10600
"유럽 스파와 한국 찜질방을 결합한 K-스타일 스파, 파라다이스시티 씨메르",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=d236a98b-5501-4ff2-b45f-38cfa444ef01&con_type=10600,2,10,10600
"홍삼을 온몸으로 마시는 건강한 치유, SPA 1899 동인비",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=08c7c533-1dec-42c6-97ea-1875b989e431&con_type=10600,1,1,10600
"몸과 마음에 약이 되는 한방 웰니스 성지, 서울한방진흥센터",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=38d4658b-3deb-4791-b34e-d61d34f3e87d&con_type=10600,1,11,10600
"건강해지는 법을 배워가는 시간, 힐리언스 선마을",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=1313c5e9-7455-42fa-bc4c-b278c9b69b21&con_type=10600,32,16,10600
2023 한국 치유관광 페스타,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=c7e63429-d88c-4c19-82d1-367d2c8a5445&con_type=11700,0,,11700
2023 한국 치유관광 페스타 개막식,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=950d8034-1a48-4e3a-b454-bd24d70e73b3&con_type=11700,0,,11700
2023 한국 치유관광 페스타 할인 캠페인,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=d0deb9fd-6a69-4a33-b038-08fb7fdc7061&con_type=11700,0,,11700
2023 한국 치유관광 페스타 시그니처 이색체험 클래스,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=fe837681-9faf-4e83-b400-e9dc69144464&con_type=11700,0,,11700
2023 한국 치유관광 페스타 무료 웰컴클래스,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=b2ec8c0f-10ab-48d4-87ba-1994d4629de7&con_type=11700,0,,11700
2023 한국 치유관광 페스타 지자체 협업관,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=7820e176-0bdf-413d-b892-5804a5baeba0&con_type=11700,0,,11700
2023 한국 치유관광 페스타 웰니스데이 IN 북촌 팝업스토어,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=24f73ded-fa3c-48f2-a32e-531596b878df&con_type=11700,0,,11700
추천웰니스관광지 64선 스티커 투어,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=206e15fa-1088-4242-a471-4895ff827ec4&con_type=11700,0,,11700
"비움과 채움의 조화로 완성한 웰니스 라이프, 제주901",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=df4986a0-0759-45fa-9d15-a1d22bd437ca&con_type=10600,39,4,10600
"제주도가 품은 신비의 화산 숲, 환상숲곶자왈공원",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=df087342-53ea-478f-b7f0-7f94f551b7b7&con_type=10600,39,4,10600
"원조 K-힐링명상, 태권도원 상징지구",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=bae5c5d3-1cf6-4493-a1e1-dfe2bc9a10dd&con_type=10600,37,5,10600
"흥미진진 숲속 웰니스, 거창항노화힐링랜드",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=7ca417a8-c625-4726-bb22-bd997d5b37e8&con_type=10600,36,2,10600
"설악산과 동해 품은 쉼의 정원, 설해원",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=372226ee-afd4-4ec1-8886-da2583757470&con_type=10600,32,7,10600
"바다 품은 웰니스 온천, 동해보양온천컨벤션호텔",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=a2e1c3a3-928e-4779-b92b-d1b57f0e931c&con_type=10600,32,3,10600
"건강한 아름다움, 생기 넘치는 K뷰티 여행, 뷰라운지",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=08c77a22-24e2-42d6-a7bb-2d3da48602bd&con_type=10600,4,7,10600
소중한 당신의 모발을 위한 한방 힐링 헤드스파,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=7620574e-e0e0-4b69-9710-e6d1edb64f7f&con_type=10600,1,1,10600
5성급 호텔에서 누리는 최상의 웰니스 라이프,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=7dd358b3-c96a-4154-907a-da0c6cd81f4f&con_type=10600,1,4,10600
K-산림치유란 이런 것! 국립제천치유의 숲,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=130dab96-7a6c-427a-88b0-4c3b55872628&con_type=10600,33,7,10600
"상큼한 귤밭이 내어준 나만의 치유공간, 제원하늘농원",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=16455d6e-ec68-4f3b-ac7d-6b6e7a08d2f7&con_type=10600,39,4,10600
"당신만을 위한 프리미엄 요트 니드라, 현대요트 인천",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=de012321-cf91-42d3-bd6d-8f3fdef4a63a&con_type=10600,2,10,10600
"손끝에서 전해오는 고귀한 치유의 힘, 더 스파 하스타",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=18b1a9ab-459c-4dc5-ac29-c3c90247f8b6&con_type=10600,2,8,10600
"목가적인 쉼과 여유 그리고 힐링, 하이힐링원",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=e4aa58e2-fb01-47f8-b0f2-d4f36db264f1&con_type=10600,32,8,10600
"디테일이 살아 있는 힐링 명소, 숲애(愛)서(徐)",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=66ef6d74-f2f3-475b-80b1-2052ee049225&con_type=10600,36,10,10600
"젊음을 유지하는 비결, 삼척활기치유의 숲",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=493fbb66-55fb-4dce-baad-ff45f3b56147&con_type=10600,32,4,10600
"오감으로 숲을 느끼는 쉼, 국립칠곡숲체원",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=4888be8d-d745-4d9a-af96-184c31017067&con_type=10600,35,22,10600
"건강한 아름다움으로 힐링하다, 테라피 스파 소베",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=45e403b0-268c-496c-a505-397339e019a0&con_type=10600,5,5,10600
건강한 삶을 추구하는 구이안덕 건강힐링체험마을,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=4bb5f5f3-f195-4434-a878-3725e03a35ea&con_type=10600,37,8,10600
다채로움을 즐기는 좌구산 자연휴양림,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=b1b2067a-1441-4835-a901-33db8ca8928c&con_type=10600,33,12,10600
"왕의 나무에서 취하는 휴식, 금강송 에코리움",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=a01ebcd6-4851-461d-bec8-0c51b0d0b3bc&con_type=10600,35,18,10600
하루의 시작과 끝을 함께하는 하이원 HAO,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=81db68e4-8a01-4bd5-a9ac-9e616d06176c&con_type=10600,32,11,10600
낭만적인 사랑 이야기가 깃든 로미지안 가든,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=79aa70f3-02ae-4d6c-b87e-84e65fbc3d03&con_type=10600,32,11,10600
"고품격 아름다움, 더 스파 앳 파라다이스",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=949def59-b649-437c-8dd7-f0fd829338b1&con_type=10600,2,10,10600
"차와 명상에 오롯이 취하는 시간, 취다선 리조트",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=99629a93-523d-4e98-86ec-625e433afcd5&con_type=10600,39,3,10600
"제주의 자연을 만나다, 서귀포 치유의 숲",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=3d13e623-f652-43cb-a7c7-1d0adc8950df&con_type=10600,39,3,10600
"제주의 물과 숲을 경험하다, WE호텔 웰니스센터",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=ee1e7462-a5b6-42ac-ac02-a1ad2070125b&con_type=10600,39,3,10600
"상쾌한 피톤치드 샤워로 힐링, 통영 나폴리농원",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=f41aae1a-132f-43a8-b49d-96016abd8eed&con_type=10600,36,17,10600
"진정한 '쉼'을 찾아 떠나는 여행, 오도산치유의숲",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=deaedf74-054f-4589-9657-7805a11530fd&con_type=10600,36,21,10600
"천혜의 자연 속 고품격 해양리조트, 한화리조트 거제 벨버디어 웰니스",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=a696b834-6bde-4f63-875e-fc2941981c72&con_type=10600,36,1,10600
"국내 최대 규모의 한방 테마파크, 산청 동의보감촌",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=3c375301-489b-4ef2-adff-0ad2cdb11902&con_type=10600,36,9,10600
"내 피부에 꼭 맞춘 천연 화장품 제작기, 하늘호수",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=cc53d27f-4645-475d-99e1-fed859be6972&con_type=10600,35,1,10600
"‘산림 복지’라는 신세계, 국립산림치유원",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=4978c5ea-4253-44f4-aae9-be894883d864&con_type=10600,35,14,10600
자연과 하나가 되는 시간 국립김천치유의숲,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=1acbc53c-356b-4169-a3f3-ea884a42fccc&con_type=10600,35,6,10600
휴대폰을 잠시 내려놓고 나를 만나는 시간 인문힐링센터여명,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=02a63404-05d8-46c2-bd33-2c856ec0c8e9&con_type=10600,35,12,10600
나무가 주인공인 숲 국립장성숲체원,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=9867e809-63e3-4f9d-ac60-0258ea07b7cc&con_type=10600,38,19,10600
"녹차향에 취해, 전남권 환경성질환 예방관리센터",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=a5bf566d-31fe-478e-ba64-f939f87e0b58&con_type=10600,38,10,10600
"태양과 바다의 에너지를 품은 곳, 태평염전 해양힐링스파",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=7c7bb924-a65b-432d-b54b-a19e77deedbe&con_type=10600,38,12,10600
"해발 598m의 억불산 아래 빼곡하게 자라난 편백의 터전, 정남진 편백숲 우드랜드",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=d90b5046-5ff2-4e92-919f-63a155855be2&con_type=10600,38,20,10600
