title,url,address,Latitude,Longitude,Unnamed: 3
정남진 편백숲 우드랜드,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=506e6e32-74d4-40ee-b98a-04f7d7891d1a&big_category=A01&mid_category=A0101&big_area=38,전라남도 장흥군 장흥읍 우드랜드길 180,34.6681616,126.9338113,
"수치료와 물놀이를 함께 즐기는 힐링 온천, 파라다이스 스파 도고",https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=52cdd480-6121-4315-bb36-c6bbff31e135&con_type=10600,충청남도 아산시 도고면 도고온천로 176,36.7654649,126.8871921,
산청 동의보감촌,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8b2b5bff-3810-4d69-9a3a-0815b4271d64&big_category=A02&mid_category=A0202&big_area=36,경상남도 산청군 금서면 동의보감로555번길 45-6,35.441087,127.8290757,
삼척 활기 치유의 숲,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=77f66e2e-600c-42f1-8b21-b7ba3bb86f6e&big_category=A01&mid_category=A0101&big_area=32,강원특별자치도 삼척시 미로면 준경길 651-230,37.385457,129.0539262,
오도산자연휴양림,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=cbfe8948-e7d2-4162-a2e9-db7cd2b17204&big_category=A01&mid_category=A0101&big_area=36,경상남도 합천군 봉산면 오도산휴양로 398,35.6704513,128.0600884,
환상숲곶자왈공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=477bd8e8-39b6-488f-a02a-4fadd1aaf8ca&big_category=A01&mid_category=A0101&big_area=39,제주특별자치도 제주시 한경면 저지리 2848-2,33.3229494,126.263523,
거창 항노화힐링랜드,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6b547de3-03c8-403a-b540-b38301dc95d4&big_category=A01&mid_category=A0101&big_area=36,경상남도 거창군 가조면 의상봉길 834,35.7255552,128.030196,
아쿠아필드 고양,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1c67c2df-2245-4425-91fc-83de82395a33&big_category=A02&mid_category=A0202&big_area=31,경기도 고양시 덕양구 고양대로 1955,37.6470834,126.8947881,
에덴힐스 힐링파크,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=729a4ff1-fb96-41a6-a579-5e5110cb66b2&big_category=A02&mid_category=A0204&big_area=34,충청남도 홍성군 서부면 와룡로126번길 76-64,36.5723907,126.5294418,
태권도원(국립태권도박물관),https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=aa0000ac-2fc5-4a0f-a626-8a2a0dab72ed&con_type=14,전북특별자치도 무주군 설천면 무설로 1482,36.0099017,127.7766356,
숲애서,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=39b20913-766a-4841-8fab-05529a33d20f&big_category=A02&mid_category=A0202&big_area=36,경상남도 양산시 탑골길 248,35.4170332,129.2061944,
인문힐링센터 여명[한국관광 품질인증/Korea Quality],https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=2ff11a8a-64ee-4d79-8d69-e0dd4d0d9535&con_type=32,경상북도 영덕군 장육사1길 203,36.5972433,129.2988248,
사유원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=fefb4598-b667-4170-bff5-367f0dea1ef4&big_category=A01&mid_category=A0101&big_area=4,대구광역시 군위군 치산효령로 1150,36.0977429,128.6886839,
국립칠곡숲체원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=287f76b7-4021-4884-a255-2a02e60cb5f6&big_category=A01&mid_category=A0101&big_area=35,경상북도 칠곡군 석적읍 유학로 532,36.0622531,128.4710389,
좌구산 자연휴양림,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=13360700-d3a6-4a8f-8435-70b85491af63&big_category=A01&mid_category=A0101&big_area=33,충청북도 증평군 증평읍 솟점말길 107,36.7084014,127.6527688,
현대요트 인천,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d0e0d0ee-eb7a-4bf7-b77c-b3ae30ec6978&big_category=A03&mid_category=A0303&big_area=2,인천광역시 중구 을왕동 980-1,37.4565124,126.3573482,
