contentId,title,wellnessThemaCd,score_cluster_0,score_cluster_1,score_cluster_2
3391552,애월명가,EX050500,0.0,55.50814291124858,52.0
3037525,애월테라피 아로마마사지,EX050100,0.0,49.69831994156319,0.0
3526115,약석원,EX050300,66.0,104.25759259923268,0.0
2732168,양지유황천,EX050100,0.0,56.1939513477975,0.0
3526092,에스엠비 웰니스 센터,EX050500,0.0,49.31338424684179,12.0
3060891,에스투뷰텍 뷰라운지,EX050500,0.0,222.74305923534033,49.0
2718732,엘리바덴 월성점,EX050200,253.0,198.95090782204713,0.0
1179738,여주온천,EX050100,0.0,77.56916099773242,0.0
128699,여주참숯마을,EX050200,44.0,79.70727040816325,0.0
127914,연산온천파크,EX050100,0.0,54.29320987654321,0.0
126648,영일만온천,EX050100,0.0,78.89795918367346,0.0
3030663,영주온천랜드,EX050100,0.0,74.25133499466003,0.0
127178,예천온천,EX050100,0.0,63.52469135802469,0.0
2660964,오도산치유의숲,EX050600,0.0,44.84297520661157,0.0
2028987,오두산 치유숲,EX050600,0.0,66.72,0.0
3343597,오레브핫스프링앤스파,EX050500,0.0,75.9873046875,34.0
127952,오색탄산온천,EX050100,0.0,45.53472222222223,0.0
2518733,오휘&후스파 명동,EX050500,0.0,891.3333743133858,353.0
2784267,옥종불소유황천,EX050100,0.0,49.75,0.0
3046172,온양 온천 랜드,EX050100,0.0,89.63665790955152,0.0
2037031,온양관광호텔 온천탕,EX050100,0.0,87.29300567107751,0.0
125856,온양온천지구,EX050100,0.0,87.2334101684751,0.0
2589659,올리바인 스파,EX050500,0.0,843.484289843098,287.0
3081515,완도해양치유센터,EX050600,0.0,54.39943040227839,0.0
250412,용두암해수랜드,EX050200,77.0,99.14050717675488,0.0
2756589,우리유황온천,EX050100,0.0,531.3531078567769,0.0
1845544,원마운트 워터파크,EX050100,0.0,133.224626659077,0.0
2774546,월드온천24,EX050100,0.0,101.26746691289628,0.0
631411,월문온천 휴양지,EX050100,0.0,67.484375,0.0
2605899,유성 족욕체험장,EX050100,0.0,162.44503200366128,0.0
125858,유성온천지구,EX050100,0.0,162.44503200366128,0.0
128003,율암온천숯가마 테마파크,EX050100,0.0,67.2411495210329,0.0
2604923,율포해수녹차센터,EX050100,0.0,48.559999999999995,0.0
126728,의성 탑산약수온천,EX050100,0.0,56.72335600907029,0.0
2764342,이천설봉온천랜드,EX050100,0.0,62.719741039594666,0.0
2754739,익산온천랜드,EX050100,0.0,108.6076817558299,0.0
3083295,장유스파랜드,EX050100,0.0,115.10256137740461,0.0
2949823,장흥 참숯가마,EX050200,24.0,68.42252903791365,0.0
3526255,전라남도 마음건강치유센터,EX050600,0.0,61.76,0.0
3083341,정관온천,EX050100,0.0,54.562369793439636,0.0
3022258,제원하늘농원,EX050600,0.0,79.12074518797186,0.0
126573,제일유황온천,EX050100,0.0,44.00692041522492,0.0
128555,제주 산방산탄산온천,EX050100,0.0,103.04953512595964,0.0
662756,조방해수탕,EX050100,0.0,186.12895953692933,0.0
3511057,주식회사뷰티홀릭,EX050600,0.0,184.65878726633713,0.0
662862,중앙해수랜드,EX050200,272.0,183.36619874191692,0.0
322850,지리산참숯굴찜질방,EX050200,51.0,94.2396694214876,0.0
2656454,진안 홍삼스파,EX050500,0.0,65.19834710743802,0.0
2949793,찜질하우스,EX050200,70.0,91.19816468253968,0.0
2638518,창원 편백 치유의 숲,EX050600,0.0,84.43770137183853,0.0
128123,척산온천지구,EX050100,0.0,89.50099088386841,0.0
2755780,천마산온천호텔 / 천마온천,EX050100,0.0,63.1773356401384,0.0
128624,천안상록리조트 아쿠아피아,EX050100,0.0,81.95565170362357,0.0
126541,청도 용암온천,EX050100,0.0,84.82756232686981,0.0
752262,청도훼미리랜드,EX050200,73.0,108.1249914623318,0.0
2660736,청라 스파렉스,EX050100,0.0,209.20980583176566,0.0
129419,청송솔기온천,EX050100,0.0,79.57195032870709,0.0
3083730,초정약수세종스파텔,EX050100,0.0,91.28402366863905,0.0
3015906,카덴96,EX050100,0.0,54.648103427150815,0.0
2932103,클랑포레스트,EX050400,76.0,104.5062576254019,0.0
3522510,키위스파랜드,EX050100,0.0,258.12344157445835,0.0
127752,태종대온천찜질방,EX050100,0.0,103.3346678017857,0.0
2660744,태평염전 해양힐링스파,EX050100,0.0,49.05555555555556,0.0
2660923,테라피 스파 소베,EX050500,0.0,201.88713870422387,55.0
128870,테르메덴,EX050100,0.0,52.72070392168288,0.0
2789664,토담참숯가마,EX050200,23.0,65.81656804733728,0.0
631934,파라다이스 스파 도고,EX050500,0.0,59.14033761652809,6.0
3031866,파주가야랜드,EX050100,0.0,80.9338885236321,0.0
3075750,팔공산심천랜드,EX050100,0.0,93.67652973283539,0.0
127987,팔공산온천관광호텔(온천),EX050100,0.0,58.6819919615724,0.0
2760781,팔영산 편백 치유의 숲,EX050600,0.0,47.09722222222223,0.0
2769846,포레스트 리솜 해브나인 스파 (해브나인 힐링스파),EX050500,0.0,38.94139886578451,0.0
2774534,필례 게르마늄 온천,EX050100,0.0,40.816326530612244,0.0
2931955,하늘호수,EX050600,0.0,87.30045686643376,0.0
3525664,하이디하우스,EX050100,0.0,226.4085895690745,0.0
2714875,하이원리조트 HAO 웰니스,EX050400,7.0,48.33727492609514,0.0
3022275,하이힐링원,EX050400,0.0,33.333333333333336,0.0
613310,하피랜드,EX050100,0.0,78.92679418189567,0.0
2589657,한방스파 여용국,EX050300,794.0,546.684161588948,0.0
127886,한방테마파크 초락당,EX050300,135.0,161.28448351209278,0.0
523983,한방테마파크 초락당 (艸樂堂),EX050300,135.0,161.28448351209278,0.0
126955,한화리조트 산정호수 안시 온천사우나,EX050100,0.0,53.089965397923876,0.0
3083459,할매탕,EX050100,0.0,132.7458584953459,0.0
126829,함평해수찜,EX050200,12.0,57.6140350877193,0.0
701642,해수워터피아,EX050200,285.0,239.31951231875448,0.0
126108,해운대온천센터,EX050100,0.0,132.70843716625134,0.0
127419,허심청,EX050100,0.0,134.40422694162305,0.0
127132,호미곶 해수탕,EX050100,0.0,58.43281807372176,0.0
3029946,호미곶온천랜드,EX050100,0.0,76.74592287761013,0.0
619672,화성식염온천,EX050100,0.0,64.34319526627218,0.0
2932122,후암별채,EX050400,1273.0,873.3963885860898,0.0
2994739,휘닉스찜질방 힐링센터,EX050200,24.0,63.023134986766,0.0
2738054,휴온천,EX050100,0.0,76.90624214073739,0.0
2751603,힐사이드온천텔,EX050100,0.0,67.2411495210329,0.0
129698,JFK 대천 워터파크,EX050100,0.0,53.18005540166205,0.0
2769761,RI온천(RI온천호텔),EX050100,0.0,83.9531737773153,0.0
2660731,SPA 1899,EX050500,0.0,465.3507947462796,287.0
