MDAY전체TOT_RAW61,M일HAP_61,MVIT,Q8a06,Q8a07,Q9_5A7,Q8_1a5,Q8_1a6,cluster
471.82500000000016,4.0,1,0,0,0,0,0,1
139.8,7.0,1,1,0,0,0,0,1
231.24999999999997,6.0,10,0,1,0,0,0,1
166.88333333333335,6.0,1,0,0,0,0,0,1
62.91000000000001,8.0,1,1,0,0,0,0,1
228.89181818181825,11.0,1,1,1,0,0,1,1
115.0,11.0,1,0,1,0,0,0,1
266.24999999999994,4.0,1,0,1,0,0,0,1
187.50000000000003,8.0,1,0,0,0,0,0,1
133.5534,5.0,1,0,0,0,0,0,1
664.0,10.0,10,0,0,0,0,0,2
138.49848484848488,6.0,2,0,0,0,0,0,1
547.3500000000001,4.0,3,1,0,0,0,1,1
166.66666666666666,18.0,1,0,1,0,0,0,0
146.0,4.0,1,0,0,0,1,0,1
183.03333333333327,6.0,3,0,0,0,0,0,1
22.0,33.0,10,0,0,1,0,0,0
193.80000000000004,5.0,2,0,0,0,1,0,1
442.8571428571428,14.0,1,1,1,0,0,0,1
162.5,16.0,1,1,0,0,0,0,1
44.58845238095238,21.0,2,1,1,1,0,0,0
137.6233333333333,6.0,1,0,0,0,1,0,1
144.34928571428568,7.0,1,0,0,0,1,0,1
507.0333333333333,6.0,1,0,0,0,0,0,1
650.0,8.0,1,0,0,0,0,0,1
90.96044285714284,21.0,10,0,0,0,0,0,0
425.5037037037037,9.0,1,0,0,0,0,0,1
118.05555555555556,18.0,1,0,0,1,0,0,0
229.272,5.0,2,0,0,0,0,0,1
180.88,5.0,2,0,0,0,0,0,1
187.2715,5.0,5,0,0,1,0,0,1
189.278,5.0,1,0,0,0,0,0,1
185.73428571428568,7.0,2,0,1,0,1,0,1
320.00000000000006,5.0,2,0,0,0,0,0,1
273.3333333333333,6.0,2,0,0,0,0,0,1
699.0,5.0,20,0,0,0,0,0,2
166.66666666666666,18.0,12,0,1,1,0,0,0
973.3333333333334,3.0,2,0,0,0,0,0,2
781.25,8.0,1,0,0,0,1,0,2
468.78,7.0,1,0,0,0,0,0,1
400.52,5.0,1,0,0,0,0,0,1
22.0,8.0,1,0,0,0,0,0,1
377.4600000000001,5.0,5,0,0,0,0,0,1
437.5,6.0,1,0,0,0,0,0,1
266.833125,8.0,1,0,0,0,0,0,1
700.0,7.0,2,0,0,0,0,0,2
291.99999999999994,5.0,5,0,0,0,1,0,1
22.0,6.0,20,0,0,0,0,0,2
314.3352857142858,7.0,5,0,0,1,1,0,1
95.0,5.0,1,0,0,0,0,0,1
171.2727272727273,11.0,1,0,0,0,0,0,1
150.72000000000003,12.0,2,1,1,0,0,1,1
275.00000000000006,10.0,1,1,1,0,1,0,1
1474.6,4.0,8,0,0,0,0,0,2
579.1333333333333,3.0,4,0,0,0,1,0,2
179.2725,8.0,1,1,0,0,1,0,1
72.47666666666667,30.0,5,0,0,1,0,0,0
22.0,7.0,5,0,0,0,1,0,1
95.06874999999998,8.0,1,0,0,0,0,0,1
474.25,10.0,1,1,0,0,0,1,1
738.9224999999999,8.0,1,0,0,0,0,0,2
247.5,8.0,1,1,1,0,1,0,1
427.4999999999999,4.0,2,0,0,0,0,0,1
342.5,6.0,1,1,1,0,0,0,1
250.0,8.0,10,0,0,0,0,0,1
450.0,10.0,3,0,0,1,0,0,1
165.76285714285717,7.0,1,1,0,0,0,1,1
149.8172,15.0,1,0,0,1,0,0,1
624.2383333333333,6.0,1,0,0,1,0,0,1
322.5,6.0,1,0,1,0,1,0,1
750.0,4.0,1,0,1,0,1,0,2
236.66666666666663,3.0,1,0,0,0,0,0,1
165.71428571428572,7.0,2,0,1,1,1,0,1
425.00000000000006,6.0,1,0,0,0,1,0,1
857.1428571428571,7.0,2,0,0,0,0,0,2
213.0,5.0,1,0,0,1,0,0,1
125.49953571428571,28.0,1,1,1,0,1,0,0
262.728,8.0,1,1,1,0,1,0,1
112.90322580645162,31.0,1,0,0,1,0,0,0
34.95,4.0,1,0,0,0,0,0,1
114.58333333333331,18.0,1,0,0,0,0,0,0
27.405585365853668,35.0,2,0,1,1,0,0,0
27.40558536585366,35.0,1,0,0,1,1,0,0
60.410161290322584,31.0,1,0,0,1,0,0,0
107.5635,20.0,1,1,0,0,0,0,0
259.62857142857143,7.0,5,0,0,0,0,0,1
263.8235294117647,17.0,1,0,1,0,0,0,1
24.42671739130435,35.0,1,0,0,1,0,0,0
36.24609677419356,31.0,1,0,0,1,0,0,0
253.33333333333331,15.0,1,1,1,0,0,1,1
224.7258,5.0,1,0,0,0,0,0,1
943.65,4.0,1,0,0,0,0,0,2
