cluster,size,MDAY전체TOT_RAW61_mean,M일HAP_61_mean,MVIT_mean,Q8a06_rate,Q8a07_rate,Q9_5A7_rate,Q8_1a5_rate,Q8_1a6_rate
0,283,115.96046188975409,25.85512367491166,3.6996466431095407,0.29328621908127206,0.3992932862190813,0.49469964664310956,0.2791519434628975,0.13780918727915195
1,2100,272.01377076460085,7.266190476190476,1.9176190476190476,0.3357142857142857,0.3638095238095238,0.15571428571428572,0.3738095238095238,0.15
2,208,888.5830824733947,5.514423076923077,6.043269230769231,0.18269230769230768,0.23557692307692307,0.08173076923076923,0.28365384615384615,0.10096153846153846
